running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227369
sample 3634 correct, score = 0.235190
sample 3635 incorrect/failed threshold, score = 0.633512
sample 3636 correct, score = 0.178665
sample 3637 correct/failed threshold, score = 0.639029
sample 3638 correct, score = 0.325947
sample 3639 correct, score = 0.470768
sample 3640 correct/failed threshold, score = 0.665835
sample 3641 tone not detected, 1 false positives, score = 0.549639
sample 3642 correct/failed threshold, score = 0.645959
sample 3643 incorrect/failed threshold, score = 0.712615
sample 3644 correct, score = 0.533062
sample 3645 correct, score = 0.270899
sample 3646 correct, score = 0.253305
sample 3647 correct, score = 0.258471
sample 3648 incorrect/failed threshold, score = 0.617897
sample 3649 correct, score = 0.226449
sample 3650 incorrect/failed threshold, score = 0.609139
sample 3651 incorrect/failed threshold, score = 0.618467
sample 3652 correct, score = 0.309323
sample 3653 incorrect/failed threshold, score = 0.625736
sample 3654 incorrect/failed threshold, score = 0.602841
sample 3655 correct, score = 0.327041
sample 3656 correct, score = 0.555208
sample 3657 no tones detected, score = 0.566111
sample 3658 correct, score = 0.480752
sample 3659 incorrect/failed threshold, score = 0.623623
sample 3660 correct, score = 0.556697
sample 3661 correct, score = 0.387270
sample 3662 correct, score = 0.295516
sample 3663 correct, score = 0.224340
sample 3664 no tones detected, score = 0.578434
sample 3665 tone not detected, 1 false positives, score = 0.542666
sample 3666 correct with 1 false positives, score = 0.574757
sample 3667 incorrect/failed threshold, score = 0.628216
sample 3668 correct, score = 0.305637
sample 3669 correct, score = 0.300941
sample 3670 incorrect/failed threshold, score = 0.582029
sample 3671 correct, score = 0.381391
sample 3672 incorrect/failed threshold, score = 0.701527
sample 3673 incorrect/failed threshold, score = 0.641390
sample 3674 incorrect/failed threshold, score = 0.604602
sample 3675 correct, score = 0.113998
sample 3676 correct, score = 0.325080
sample 3677 correct, score = 0.303754
sample 3678 correct, score = 0.262405
sample 3679 correct, score = 0.413867
sample 3680 correct, score = 0.547560
sample 3681 correct, score = 0.577211
sample 3682 correct, score = 0.370454
sample 3683 correct, score = 0.301976
sample 3684 correct, score = 0.524161
sample 3685 correct, score = 0.503640
sample 3686 correct, score = 0.194833
sample 3687 correct, score = 0.514648
sample 3688 correct, score = 0.340869
sample 3689 correct, score = 0.409604
sample 3690 incorrect/failed threshold, score = 0.659125
sample 3691 correct, score = 0.445199
sample 3692 no tones detected, score = 0.560637
sample 3693 correct, score = 0.228776
sample 3694 correct, score = 0.568003
sample 3695 correct, score = 0.287265
sample 3696 correct, score = 0.542321
sample 3697 correct, score = 0.319216
sample 3698 correct, score = 0.221914
sample 3699 correct, score = 0.513478
sample 3700 correct/failed threshold, score = 0.596588
sample 3701 correct/failed threshold, score = 0.679704
sample 3702 correct, score = 0.553223
sample 3703 no tones detected, score = 0.526150
sample 3704 correct, score = 0.506945
sample 3705 no tones detected, score = 0.579012
sample 3706 no tones detected, score = 0.570039
sample 3707 correct, score = 0.430897
sample 3708 correct, score = 0.359301
sample 3709 correct, score = 0.181377
sample 3710 incorrect/failed threshold, score = 0.620486
sample 3711 correct, score = 0.338744
sample 3712 correct/failed threshold, score = 0.614205
sample 3713 correct, score = 0.358529
sample 3714 correct/failed threshold, score = 0.610461
sample 3715 correct, score = 0.434467
sample 3716 incorrect/failed threshold, score = 0.618823
sample 3717 correct, score = 0.555322
sample 3718 correct, score = 0.398622
sample 3719 no tones detected, score = 0.559187
sample 3720 incorrect/failed threshold, score = 0.588646
sample 3721 correct, score = 0.486090
sample 3722 correct, score = 0.323810
sample 3723 correct, score = 0.527445
sample 3724 tone not detected, 2 false positives, score = 0.386463
sample 3725 no tones detected, score = 0.542536
sample 3726 correct, score = 0.521423
sample 3727 correct, score = 0.536485
sample 3728 correct, score = 0.513545
sample 3729 correct/failed threshold, score = 0.582721
sample 3730 correct, score = 0.443737
sample 3731 correct, score = 0.153472
sample 3732 correct, score = 0.397928
sample 3733 correct, score = 0.349289
sample 3734 incorrect/failed threshold, score = 0.644410
sample 3735 correct with 1 false positives, score = 0.539007
sample 3736 no tones detected, score = 0.559013
sample 3737 correct, score = 0.323106
sample 3738 incorrect/failed threshold, score = 0.590616
sample 3739 incorrect/failed threshold, score = 0.688723
sample 3740 correct, score = 0.250117
sample 3741 correct, score = 0.393246
sample 3742 correct, score = 0.390254
sample 3743 tone not detected, 1 false positives, score = 0.469026
sample 3744 tone not detected, 1 false positives, score = 0.536126
sample 3745 correct, score = 0.541435
sample 3746 correct, score = 0.347884
sample 3747 incorrect/failed threshold, score = 0.686297
sample 3748 correct, score = 0.362223
sample 3749 incorrect/failed threshold, score = 0.619457
sample 3750 incorrect/failed threshold, score = 0.677472
sample 3751 tone not detected, 1 false positives, score = 0.574884
sample 3752 incorrect/failed threshold, score = 0.611605
sample 3753 correct, score = 0.420188
sample 3754 correct, score = 0.228589
sample 3755 incorrect/failed threshold, score = 0.655936
sample 3756 correct/failed threshold, score = 0.679175
sample 3757 correct, score = 0.515572
sample 3758 correct, score = 0.485467
sample 3759 correct, score = 0.224024
sample 3760 correct, score = 0.249848
sample 3761 correct, score = 0.521517
sample 3762 correct/failed threshold, score = 0.595741
sample 3763 correct/failed threshold, score = 0.595307
sample 3764 correct, score = 0.354966
sample 3765 correct, score = 0.400212
sample 3766 correct, score = 0.553466
sample 3767 incorrect/failed threshold, score = 0.652187
sample 3768 incorrect/failed threshold, score = 0.582076
sample 3769 correct, score = 0.442555
sample 3770 correct, score = 0.334122
sample 3771 correct, score = 0.540847
sample 3772 correct, score = 0.465900
sample 3773 correct, score = 0.289242
sample 3774 correct, score = 0.507259
sample 3775 correct, score = 0.444457
sample 3776 correct, score = 0.281946
sample 3777 correct, score = 0.327237
sample 3778 correct, score = 0.208486
sample 3779 correct, score = 0.559345
sample 3780 correct, score = 0.433134
sample 3781 correct, score = 0.199968
sample 3782 incorrect/failed threshold, score = 0.634645
sample 3783 correct, score = 0.257165
sample 3784 correct, score = 0.445060
sample 3785 correct, score = 0.127290
sample 3786 correct, score = 0.324812
sample 3787 correct, score = 0.565306
sample 3788 tone not detected, 1 false positives, score = 0.576444
sample 3789 correct, score = 0.462556
sample 3790 correct, score = 0.437489
sample 3791 correct/failed threshold, score = 0.603497
sample 3792 correct, score = 0.505824
sample 3793 correct, score = 0.276184
sample 3794 correct, score = 0.256375
sample 3795 correct/failed threshold, score = 0.582377
sample 3796 correct, score = 0.521987
sample 3797 correct, score = 0.501277
sample 3798 correct, score = 0.390001
sample 3799 correct, score = 0.417973
sample 3800 correct, score = 0.197168
sample 3801 incorrect/failed threshold, score = 0.624791
sample 3802 incorrect/failed threshold, score = 0.660735
sample 3803 correct/failed threshold, score = 0.683731
sample 3804 incorrect/failed threshold, score = 0.589580
sample 3805 no tones detected, score = 0.552940
sample 3806 correct, score = 0.469986
sample 3807 correct, score = 0.367452
sample 3808 correct/failed threshold, score = 0.633495
sample 3809 correct, score = 0.277918
sample 3810 incorrect/failed threshold, score = 0.618112
sample 3811 incorrect/failed threshold, score = 0.592875
sample 3812 correct, score = 0.515648
sample 3813 correct, score = 0.312971
sample 3814 correct, score = 0.330036
sample 3815 correct, score = 0.290058
sample 3816 correct, score = 0.354650
sample 3817 correct, score = 0.365858
sample 3818 incorrect/failed threshold, score = 0.713957
sample 3819 correct, score = 0.211626
sample 3820 correct, score = 0.334235
sample 3821 correct, score = 0.334134
sample 3822 correct, score = 0.326542
sample 3823 correct, score = 0.367466
sample 3824 tone not detected, 1 false positives, score = 0.191625
sample 3825 correct, score = 0.436301
sample 3826 incorrect/failed threshold, score = 0.620597
sample 3827 correct, score = 0.510656
sample 3828 incorrect/failed threshold, score = 0.649640
sample 3829 correct, score = 0.515400
sample 3830 correct, score = 0.334459
sample 3831 correct, score = 0.308878
sample 3832 incorrect/failed threshold, score = 0.644797
sample 3833 correct, score = 0.503494
sample 3834 correct, score = 0.364458
sample 3835 correct/failed threshold, score = 0.628011
sample 3836 correct, score = 0.279470
sample 3837 correct, score = 0.363234
sample 3838 correct, score = 0.455436
sample 3839 correct, score = 0.492700
sample 3840 correct, score = 0.494161
sample 3841 incorrect/failed threshold, score = 0.628601
sample 3842 correct/failed threshold, score = 0.693105
sample 3843 correct/failed threshold, score = 0.587776
sample 3844 correct, score = 0.376931
sample 3845 correct, score = 0.205320
sample 3846 correct, score = 0.482078
sample 3847 correct, score = 0.417154
sample 3848 correct, score = 0.199920
sample 3849 correct, score = 0.294482
sample 3850 correct, score = 0.527242
sample 3851 incorrect/failed threshold, score = 0.627801
sample 3852 incorrect/failed threshold, score = 0.601091
sample 3853 tone not detected, 1 false positives, score = 0.461650
sample 3854 incorrect/failed threshold, score = 0.608488
sample 3855 correct, score = 0.250415
sample 3856 incorrect/failed threshold, score = 0.613135
sample 3857 incorrect/failed threshold, score = 0.668314
sample 3858 incorrect/failed threshold, score = 0.621291
sample 3859 correct, score = 0.341741
sample 3860 incorrect/failed threshold, score = 0.658071
sample 3861 incorrect/failed threshold, score = 0.580372
sample 3862 incorrect/failed threshold, score = 0.609868
sample 3863 correct, score = 0.577978
sample 3864 no tones detected, score = 0.539781
sample 3865 incorrect/failed threshold, score = 0.586791
sample 3866 tone not detected, 2 false positives, score = 0.538647
sample 3867 incorrect/failed threshold, score = 0.598116
sample 3868 correct, score = 0.436734
sample 3869 correct, score = 0.554727
sample 3870 correct, score = 0.565202
sample 3871 tone not detected, 1 false positives, score = 0.527994
sample 3872 correct, score = 0.355734
sample 3873 no tones detected, score = 0.543446
sample 3874 incorrect/failed threshold, score = 0.627559
sample 3875 incorrect/failed threshold, score = 0.617219
sample 3876 correct, score = 0.520991
sample 3877 correct, score = 0.351729
sample 3878 correct, score = 0.335238
sample 3879 correct, score = 0.451624
sample 3880 correct, score = 0.561565
sample 3881 no tones detected, score = 0.568716
sample 3882 correct, score = 0.555875
sample 3883 no tones detected, score = 0.578746
sample 3884 correct, score = 0.483287
sample 3885 correct, score = 0.228257
sample 3886 incorrect/failed threshold, score = 0.688377
sample 3887 correct, score = 0.367224
sample 3888 tone not detected, 1 false positives, score = 0.305647
sample 3889 tone not detected, 1 false positives, score = 0.574540
sample 3890 correct, score = 0.152431
sample 3891 correct, score = 0.328814
sample 3892 correct, score = 0.316903
sample 3893 correct, score = 0.325251
sample 3894 correct, score = 0.258798
sample 3895 correct, score = 0.351453
sample 3896 incorrect/failed threshold, score = 0.596035
sample 3897 incorrect/failed threshold, score = 0.607893
sample 3898 correct, score = 0.534236
sample 3899 correct, score = 0.561050
sample 3900 correct, score = 0.549652
sample 3901 incorrect/failed threshold, score = 0.584653
sample 3902 correct/failed threshold, score = 0.628661
sample 3903 correct, score = 0.331168
sample 3904 correct, score = 0.467082
sample 3905 correct, score = 0.556686
sample 3906 correct, score = 0.380433
sample 3907 correct, score = 0.350500
sample 3908 incorrect/failed threshold, score = 0.747371
sample 3909 correct, score = 0.357826
sample 3910 correct, score = 0.385171
sample 3911 correct/failed threshold, score = 0.644965
sample 3912 incorrect/failed threshold, score = 0.761152
sample 3913 tone not detected, 1 false positives, score = 0.361643
sample 3914 incorrect/failed threshold, score = 0.593610
sample 3915 incorrect/failed threshold, score = 0.637260
sample 3916 tone not detected, 1 false positives, score = 0.560927
sample 3917 correct/failed threshold, score = 0.606053
sample 3918 correct, score = 0.267323
sample 3919 correct, score = 0.277790
sample 3920 correct, score = 0.491427
sample 3921 correct, score = 0.467357
sample 3922 incorrect/failed threshold, score = 0.635869
sample 3923 correct/failed threshold, score = 0.623568
sample 3924 correct, score = 0.422261
sample 3925 correct, score = 0.370556
sample 3926 correct, score = 0.381773
sample 3927 correct, score = 0.572588
sample 3928 correct, score = 0.156101
sample 3929 correct, score = 0.376244
sample 3930 correct, score = 0.289626
sample 3931 correct, score = 0.578784
sample 3932 correct, score = 0.443320
sample 3933 correct/failed threshold, score = 0.627805
sample 3934 correct, score = 0.482836
sample 3935 correct, score = 0.140640
sample 3936 correct, score = 0.534491
sample 3937 correct/failed threshold, score = 0.692577
sample 3938 correct, score = 0.293466
sample 3939 no tones detected, score = 0.525696
sample 3940 tone not detected, 1 false positives, score = 0.562511
sample 3941 incorrect/failed threshold, score = 0.582892
sample 3942 correct/failed threshold, score = 0.621953
sample 3943 correct, score = 0.476726
sample 3944 correct, score = 0.495570
sample 3945 correct, score = 0.341632
sample 3946 correct, score = 0.254315
sample 3947 correct, score = 0.566619
sample 3948 correct, score = 0.381413
sample 3949 correct, score = 0.314155
sample 3950 correct/failed threshold, score = 0.607013
sample 3951 correct, score = 0.324561
sample 3952 correct, score = 0.169673
sample 3953 correct, score = 0.318708
sample 3954 correct, score = 0.541325
sample 3955 correct, score = 0.332330
sample 3956 correct, score = 0.377192
sample 3957 correct, score = 0.451029
sample 3958 correct, score = 0.527695
sample 3959 correct, score = 0.496341
sample 3960 correct, score = 0.559910
sample 3961 correct, score = 0.517490
sample 3962 correct, score = 0.303488
sample 3963 correct, score = 0.386690
sample 3964 incorrect/failed threshold, score = 0.586192
sample 3965 tone not detected, 1 false positives, score = 0.169375
sample 3966 correct/failed threshold, score = 0.718933
sample 3967 incorrect/failed threshold, score = 0.655291
sample 3968 correct, score = 0.349752
sample 3969 correct, score = 0.512182
sample 3970 correct, score = 0.537217
sample 3971 correct, score = 0.393255
sample 3972 correct, score = 0.530787
sample 3973 incorrect/failed threshold, score = 0.608326
sample 3974 correct, score = 0.171573
sample 3975 correct, score = 0.251701
sample 3976 correct, score = 0.357002
sample 3977 correct, score = 0.418909
sample 3978 incorrect/failed threshold, score = 0.696089
sample 3979 no tones detected, score = 0.534636
sample 3980 incorrect/failed threshold, score = 0.583784
sample 3981 correct, score = 0.407860
sample 3982 correct/failed threshold, score = 0.620971
sample 3983 correct, score = 0.512730
sample 3984 correct, score = 0.282522
sample 3985 incorrect/failed threshold, score = 0.633082
sample 3986 correct, score = 0.251364
sample 3987 correct, score = 0.325462
sample 3988 correct, score = 0.457862
sample 3989 tone not detected, 1 false positives, score = 0.443833
sample 3990 incorrect/failed threshold, score = 0.643434
sample 3991 incorrect/failed threshold, score = 0.604295
sample 3992 no tones detected, score = 0.577062
sample 3993 correct, score = 0.479173
sample 3994 correct, score = 0.276547
sample 3995 no tones detected, score = 0.537212
sample 3996 correct/failed threshold, score = 0.627770
sample 3997 correct, score = 0.339303
sample 3998 correct, score = 0.361010
sample 3999 correct, score = 0.570915
sample 4000 correct, score = 0.421825
sample 4001 correct, score = 0.395821
sample 4002 correct, score = 0.367542
sample 4003 tone not detected, 1 false positives, score = 0.373273
sample 4004 correct, score = 0.516045
sample 4005 correct/failed threshold, score = 0.585392
sample 4006 correct, score = 0.494924
sample 4007 correct/failed threshold, score = 0.754740
sample 4008 correct, score = 0.381106
sample 4009 correct, score = 0.443257
sample 4010 incorrect/failed threshold, score = 0.742640
sample 4011 correct, score = 0.321226
sample 4012 no tones detected, score = 0.574069
sample 4013 correct, score = 0.325707
sample 4014 correct, score = 0.127056
sample 4015 no tones detected, score = 0.555799
sample 4016 correct, score = 0.326105
sample 4017 incorrect/failed threshold, score = 0.649158
sample 4018 correct, score = 0.371529
sample 4019 correct, score = 0.559769
sample 4020 incorrect/failed threshold, score = 0.608186
sample 4021 correct, score = 0.274156
sample 4022 correct, score = 0.449849
sample 4023 correct/failed threshold, score = 0.609348
sample 4024 incorrect/failed threshold, score = 0.619172
sample 4025 correct/failed threshold, score = 0.620256
sample 4026 correct, score = 0.400605
sample 4027 correct, score = 0.332879
sample 4028 correct/failed threshold, score = 0.592436
sample 4029 correct, score = 0.470495
sample 4030 no tones detected, score = 0.571486
sample 4031 correct, score = 0.329022
sample 4032 incorrect/failed threshold, score = 0.590078
sample 4033 incorrect/failed threshold, score = 0.622937
sample 4034 incorrect/failed threshold, score = 0.616982
sample 4035 correct/failed threshold, score = 0.609126
sample 4036 correct, score = 0.388456
sample 4037 correct/failed threshold, score = 0.648132
sample 4038 incorrect/failed threshold, score = 0.606038
sample 4039 incorrect/failed threshold, score = 0.592292
sample 4040 correct, score = 0.532683
sample 4041 correct, score = 0.457739
sample 4042 no tones detected, score = 0.541537
sample 4043 correct, score = 0.241785
sample 4044 correct, score = 0.398561
sample 4045 correct/failed threshold, score = 0.622628
sample 4046 tone not detected, 2 false positives, score = 0.368725
sample 4047 correct, score = 0.546819
sample 4048 correct, score = 0.300938
sample 4049 correct, score = 0.392369
sample 4050 correct, score = 0.360712
sample 4051 incorrect/failed threshold, score = 0.636530
sample 4052 correct, score = 0.219465
sample 4053 correct, score = 0.279492
sample 4054 correct, score = 0.490859
sample 4055 correct, score = 0.333336
sample 4056 correct, score = 0.307534
sample 4057 correct, score = 0.389881
sample 4058 correct/failed threshold, score = 0.623209
sample 4059 incorrect/failed threshold, score = 0.591545
sample 4060 correct, score = 0.277265
sample 4061 correct, score = 0.411793
sample 4062 correct, score = 0.531825
sample 4063 correct, score = 0.387016
sample 4064 correct, score = 0.263758
sample 4065 correct, score = 0.481539
sample 4066 correct, score = 0.420812
sample 4067 incorrect/failed threshold, score = 0.615218
sample 4068 incorrect/failed threshold, score = 0.661491
sample 4069 correct, score = 0.506103
sample 4070 correct, score = 0.296268
sample 4071 incorrect/failed threshold, score = 0.666404
sample 4072 incorrect/failed threshold, score = 0.653931
sample 4073 correct, score = 0.484095
sample 4074 correct, score = 0.346532
sample 4075 correct, score = 0.496402
sample 4076 correct, score = 0.324490
sample 4077 correct, score = 0.372638
sample 4078 correct, score = 0.296491
sample 4079 correct/failed threshold, score = 0.692867
sample 4080 correct/failed threshold, score = 0.581903
sample 4081 correct, score = 0.539397
sample 4082 correct, score = 0.399510
sample 4083 correct, score = 0.298424
sample 4084 correct/failed threshold, score = 0.614043
sample 4085 correct, score = 0.387584
sample 4086 correct, score = 0.183028
sample 4087 correct, score = 0.503381
sample 4088 correct, score = 0.518650
sample 4089 correct/failed threshold, score = 0.587943
sample 4090 correct, score = 0.488490
sample 4091 correct, score = 0.540001
sample 4092 incorrect/failed threshold, score = 0.614881
sample 4093 incorrect/failed threshold, score = 0.598552
sample 4094 correct, score = 0.388184
sample 4095 tone not detected, 1 false positives, score = 0.559816
sample 4096 correct, score = 0.407142
sample 4097 incorrect/failed threshold, score = 0.646269
sample 4098 correct, score = 0.500871
sample 4099 correct, score = 0.557077
sample 4100 correct, score = 0.494095
sample 4101 correct, score = 0.382781
sample 4102 correct, score = 0.300354
sample 4103 correct, score = 0.539026
sample 4104 tone not detected, 1 false positives, score = 0.442087
sample 4105 correct, score = 0.208943
sample 4106 correct/failed threshold, score = 0.580763
sample 4107 correct, score = 0.278699
sample 4108 correct/failed threshold, score = 0.621182
sample 4109 incorrect/failed threshold, score = 0.594282
sample 4110 correct, score = 0.391110
sample 4111 correct, score = 0.461943
sample 4112 correct/failed threshold, score = 0.586737
sample 4113 correct, score = 0.385710
sample 4114 correct, score = 0.317235
sample 4115 correct, score = 0.412237
sample 4116 tone not detected, 1 false positives, score = 0.174548
sample 4117 correct, score = 0.143389
sample 4118 correct, score = 0.536298
sample 4119 tone not detected, 1 false positives, score = 0.448109
sample 4120 correct, score = 0.510198
sample 4121 incorrect/failed threshold, score = 0.591788
sample 4122 correct, score = 0.352292
sample 4123 incorrect/failed threshold, score = 0.731014
sample 4124 correct, score = 0.511972
sample 4125 correct, score = 0.359314
sample 4126 correct/failed threshold, score = 0.614291
sample 4127 no tones detected, score = 0.578258
sample 4128 correct/failed threshold, score = 0.646448
sample 4129 correct, score = 0.511646
sample 4130 correct, score = 0.464337
sample 4131 correct, score = 0.319237
sample 4132 correct, score = 0.572482
sample 4133 correct, score = 0.489343
sample 4134 correct/failed threshold, score = 0.581507
sample 4135 tone not detected, 1 false positives, score = 0.372779
sample 4136 incorrect/failed threshold, score = 0.729246
sample 4137 correct, score = 0.541449
sample 4138 tone not detected, 1 false positives, score = 0.573079
sample 4139 correct, score = 0.377105
sample 4140 correct/failed threshold, score = 0.653823
sample 4141 correct, score = 0.435429
sample 4142 correct, score = 0.237776
sample 4143 incorrect/failed threshold, score = 0.599971
sample 4144 correct, score = 0.458588
sample 4145 correct, score = 0.533644
sample 4146 correct, score = 0.353714
sample 4147 correct, score = 0.350964
sample 4148 correct, score = 0.558876
sample 4149 incorrect/failed threshold, score = 0.616621
sample 4150 no tones detected, score = 0.557103
sample 4151 no tones detected, score = 0.549750
sample 4152 no tones detected, score = 0.550812
sample 4153 correct, score = 0.576011
sample 4154 correct, score = 0.431508
sample 4155 no tones detected, score = 0.542801
sample 4156 incorrect/failed threshold, score = 0.612990
sample 4157 correct, score = 0.494744
sample 4158 no tones detected, score = 0.575233
sample 4159 correct, score = 0.538983
sample 4160 correct, score = 0.252820
sample 4161 correct with 1 false positives, score = 0.563448
sample 4162 incorrect/failed threshold, score = 0.582765
sample 4163 correct/failed threshold, score = 0.598573
sample 4164 incorrect/failed threshold, score = 0.599459
sample 4165 correct, score = 0.382740
sample 4166 correct, score = 0.503890
sample 4167 correct/failed threshold, score = 0.581892
sample 4168 incorrect/failed threshold, score = 0.628673
sample 4169 correct/failed threshold, score = 0.595669
sample 4170 no tones detected, score = 0.558989
sample 4171 correct, score = 0.434762
sample 4172 tone not detected, 1 false positives, score = 0.231838
sample 4173 incorrect/failed threshold, score = 0.584959
sample 4174 incorrect/failed threshold, score = 0.618734
sample 4175 no tones detected, score = 0.577245
sample 4176 no tones detected, score = 0.559756
sample 4177 correct, score = 0.497028
sample 4178 correct/failed threshold, score = 0.589824
sample 4179 no tones detected, score = 0.563452
sample 4180 incorrect/failed threshold, score = 0.769416
sample 4181 correct, score = 0.419456
sample 4182 correct, score = 0.534269
sample 4183 incorrect/failed threshold, score = 0.645413
sample 4184 correct, score = 0.541380
sample 4185 tone not detected, 1 false positives, score = 0.474997
sample 4186 correct, score = 0.541314
sample 4187 correct/failed threshold, score = 0.606003
sample 4188 no tones detected, score = 0.569523
sample 4189 no tones detected, score = 0.561510
sample 4190 incorrect/failed threshold, score = 0.584770
sample 4191 no tones detected, score = 0.552411
sample 4192 no tones detected, score = 0.543640
sample 4193 incorrect/failed threshold, score = 0.657852
sample 4194 no tones detected, score = 0.576212
sample 4195 incorrect/failed threshold, score = 0.595965
sample 4196 correct, score = 0.488550
sample 4197 correct, score = 0.549225
sample 4198 correct, score = 0.513333
sample 4199 tone not detected, 1 false positives, score = 0.525780
sample 4200 tone not detected, 1 false positives, score = 0.551364
sample 4201 incorrect/failed threshold, score = 0.662616
sample 4202 correct, score = 0.545479
sample 4203 correct/failed threshold, score = 0.602369
sample 4204 incorrect/failed threshold, score = 0.641522
sample 4205 no tones detected, score = 0.573687
sample 4206 correct, score = 0.567610
sample 4207 correct, score = 0.245249
sample 4208 correct, score = 0.430121
sample 4209 correct, score = 0.365954
sample 4210 correct/failed threshold, score = 0.603025
sample 4211 correct, score = 0.467451
sample 4212 no tones detected, score = 0.543292
sample 4213 correct, score = 0.496810
sample 4214 correct, score = 0.140229
sample 4215 correct, score = 0.550926
sample 4216 no tones detected, score = 0.533982
sample 4217 correct, score = 0.301457
sample 4218 no tones detected, score = 0.550822
sample 4219 no tones detected, score = 0.578239
sample 4220 correct, score = 0.523989
sample 4221 correct/failed threshold, score = 0.631186
sample 4222 correct, score = 0.570856
sample 4223 correct, score = 0.522727
sample 4224 correct, score = 0.440357
sample 4225 correct, score = 0.466108
sample 4226 incorrect/failed threshold, score = 0.582013
sample 4227 correct, score = 0.373675
sample 4228 no tones detected, score = 0.560588
sample 4229 correct, score = 0.477147
sample 4230 incorrect/failed threshold, score = 0.594739
sample 4231 correct, score = 0.444680
sample 4232 correct, score = 0.445382
sample 4233 incorrect/failed threshold, score = 0.629416
sample 4234 no tones detected, score = 0.566155
sample 4235 correct, score = 0.364667
sample 4236 correct, score = 0.550849
sample 4237 correct, score = 0.209831
sample 4238 incorrect/failed threshold, score = 0.608152
sample 4239 no tones detected, score = 0.574942
sample 4240 incorrect/failed threshold, score = 0.603343
sample 4241 correct/failed threshold, score = 0.592918
sample 4242 incorrect/failed threshold, score = 0.603085
sample 4243 tone not detected, 1 false positives, score = 0.554685
sample 4244 correct, score = 0.490319
sample 4245 incorrect/failed threshold, score = 0.685540
sample 4246 correct, score = 0.558926
sample 4247 no tones detected, score = 0.571156
sample 4248 no tones detected, score = 0.560513
sample 4249 correct, score = 0.566221
sample 4250 no tones detected, score = 0.553492
sample 4251 incorrect/failed threshold, score = 0.635137
sample 4252 correct, score = 0.503361
sample 4253 no tones detected, score = 0.544484
sample 4254 correct, score = 0.232309
sample 4255 correct/failed threshold, score = 0.591689
sample 4256 no tones detected, score = 0.573642
sample 4257 incorrect/failed threshold, score = 0.607409
sample 4258 no tones detected, score = 0.559320
sample 4259 no tones detected, score = 0.542871
sample 4260 correct, score = 0.553857
sample 4261 no tones detected, score = 0.563722
sample 4262 no tones detected, score = 0.574510
sample 4263 no tones detected, score = 0.561915
sample 4264 no tones detected, score = 0.577660
sample 4265 no tones detected, score = 0.555554
sample 4266 no tones detected, score = 0.551422
sample 4267 no tones detected, score = 0.573465
sample 4268 no tones detected, score = 0.555291
sample 4269 no tones detected, score = 0.570424
sample 4270 no tones detected, score = 0.560962
sample 4271 incorrect/failed threshold, score = 0.590492
sample 4272 correct, score = 0.536922
sample 4273 no tones detected, score = 0.571837
sample 4274 incorrect/failed threshold, score = 0.756645
sample 4275 correct, score = 0.270111
sample 4276 no tones detected, score = 0.557940
sample 4277 correct, score = 0.546500
sample 4278 incorrect/failed threshold, score = 0.586365
sample 4279 incorrect/failed threshold, score = 0.619489
sample 4280 incorrect/failed threshold, score = 0.594110
sample 4281 correct, score = 0.367888
sample 4282 incorrect/failed threshold, score = 0.596885
sample 4283 incorrect/failed threshold, score = 0.655822
sample 4284 correct, score = 0.531950
sample 4285 correct/failed threshold, score = 0.622309
sample 4286 no tones detected, score = 0.553533
sample 4287 correct, score = 0.503683
sample 4288 correct/failed threshold, score = 0.592411
sample 4289 incorrect/failed threshold, score = 0.642399
sample 4290 no tones detected, score = 0.559651
sample 4291 correct, score = 0.476063
sample 4292 correct, score = 0.579541
sample 4293 no tones detected, score = 0.579024
sample 4294 correct, score = 0.485409
sample 4295 correct/failed threshold, score = 0.592017
sample 4296 correct, score = 0.127368
sample 4297 incorrect/failed threshold, score = 0.590696
sample 4298 correct, score = 0.526058
sample 4299 incorrect/failed threshold, score = 0.593706
sample 4300 correct/failed threshold, score = 0.603390
sample 4301 tone not detected, 1 false positives, score = 0.523499
sample 4302 correct, score = 0.461216
sample 4303 tone not detected, 1 false positives, score = 0.452117
sample 4304 no tones detected, score = 0.552789
sample 4305 incorrect/failed threshold, score = 0.582546
sample 4306 no tones detected, score = 0.571112
sample 4307 no tones detected, score = 0.545824
sample 4308 incorrect/failed threshold, score = 0.605195
sample 4309 correct, score = 0.480846
sample 4310 no tones detected, score = 0.551759
sample 4311 no tones detected, score = 0.560824
sample 4312 correct, score = 0.393084
sample 4313 correct, score = 0.549287
sample 4314 correct, score = 0.528019
sample 4315 incorrect/failed threshold, score = 0.587615
sample 4316 no tones detected, score = 0.564769
sample 4317 correct, score = 0.553107
sample 4318 correct, score = 0.253181
sample 4319 correct/failed threshold, score = 0.663239
sample 4320 no tones detected, score = 0.563106
sample 4321 correct, score = 0.467110
sample 4322 no tones detected, score = 0.551528
sample 4323 incorrect/failed threshold, score = 0.596185
sample 4324 no tones detected, score = 0.546148
sample 4325 correct, score = 0.567411
sample 4326 tone not detected, 1 false positives, score = 0.505404
sample 4327 correct, score = 0.419029
sample 4328 correct, score = 0.432801
sample 4329 incorrect/failed threshold, score = 0.610462
sample 4330 correct, score = 0.443810
sample 4331 no tones detected, score = 0.579286
sample 4332 no tones detected, score = 0.563735
sample 4333 incorrect/failed threshold, score = 0.615412
sample 4334 correct, score = 0.192332
sample 4335 correct, score = 0.579110
